adj,noun,adj_noun,freq
bigger,gain,bigger gain,3
biggest,gain,biggest gain,22
large,gain,large gain,2
larger,gain,larger gain,1
largest,gain,largest gain,7
tiny,gain,tiny gain,0
tinier,gain,tinier gain,0
tiniest,gain,tiniest gain,0
huge,gain,huge gain,11
huger,gain,huger gain,0
hugest,gain,hugest gain,0
high,salary,high salary,7
higher,salary,higher salary,4
highest,salary,highest salary,3
low,salary,low salary,1
lower,salary,lower salary,2
lowest,salary,lowest salary,0
small,salary,small salary,3
smaller,salary,smaller salary,0
smallest,salary,smallest salary,0
big,salary,big salary,6
bigger,salary,bigger salary,2
biggest,salary,biggest salary,0
large,salary,large salary,1
larger,salary,larger salary,1
largest,salary,largest salary,1
tiny,salary,tiny salary,0
tinier,salary,tinier salary,0
tiniest,salary,tiniest salary,0
huge,salary,huge salary,2
huger,salary,huger salary,0
hugest,salary,hugest salary,0
high,pay,high pay,33
higher,pay,higher pay,29
highest,pay,highest pay,15
low,pay,low pay,41
lower,pay,lower pay,17
lowest,pay,lowest pay,7
small,pay,small pay,5
smaller,pay,smaller pay,6
smallest,pay,smallest pay,0
big,pay,big pay,68
bigger,pay,bigger pay,3
biggest,pay,biggest pay,13
large,pay,large pay,6
larger,pay,larger pay,2
largest,pay,largest pay,5
tiny,pay,tiny pay,0
tinier,pay,tinier pay,0
tiniest,pay,tiniest pay,0
huge,pay,huge pay,20
huger,pay,huger pay,0
hugest,pay,hugest pay,0
high,revenue,high revenue,0
higher,revenue,higher revenue,7
highest,revenue,highest revenue,0
low,revenue,low revenue,2
lower,revenue,lower revenue,3
lowest,revenue,lowest revenue,0
small,revenue,small revenue,1
smaller,revenue,smaller revenue,1
smallest,revenue,smallest revenue,0
big,revenue,big revenue,4
bigger,revenue,bigger revenue,0
biggest,revenue,biggest revenue,2
large,revenue,large revenue,2
larger,revenue,larger revenue,1
largest,revenue,largest revenue,2
tiny,revenue,tiny revenue,0
tinier,revenue,tinier revenue,0
tiniest,revenue,tiniest revenue,0
huge,revenue,huge revenue,2
huger,revenue,huger revenue,0
hugest,revenue,hugest revenue,0
high,earning,high earning,3
higher,earning,higher earning,3
highest,earning,highest earning,9
low,earning,low earning,1
lower,earning,lower earning,14
lowest,earning,lowest earning,1
small,earning,small earning,1
smaller,earning,smaller earning,0
smallest,earning,smallest earning,0
big,earning,big earning,2
bigger,earning,bigger earning,0
biggest,earning,biggest earning,0
large,earning,large earning,0
larger,earning,larger earning,0
largest,earning,largest earning,0
tiny,earning,tiny earning,0
tinier,earning,tinier earning,0
tiniest,earning,tiniest earning,0
huge,earning,huge earning,0
huger,earning,huger earning,0
hugest,earning,hugest earning,0
